sport,country,gold,silver,bronze,total
Athletics,United States,14,11,9,34
Athletics,Kenya,4,2,5,11
Athletics,Canada,3,1,1,5
Athletics,Netherlands,2,1,3,6
Athletics,Spain,2,1,1,4
Athletics,Norway,2,1,0,3
Athletics,England,1,3,5,9
Athletics,Jamaica,1,3,2,6
Athletics,Ethiopia,1,3,0,4
Athletics,Australia,1,2,4,7
Athletics,Germany,1,2,1,4
Athletics,China,1,1,2,4
Athletics,Belgium,1,1,1,3
Athletics,Bahrain,1,1,0,2
Athletics,Botswana,1,1,0,2
Athletics,Ecuador,1,1,0,2
Athletics,New Zealand,1,1,0,2
Athletics,Saint Lucia,1,1,0,2
Athletics,Uganda,1,1,0,2
Athletics,Ukraine,1,0,2,3
Athletics,Greece,1,0,1,2
Athletics,Dominica,1,0,0,1
Athletics,Dominican Republic,1,0,0,1
Athletics,Japan,1,0,0,1
Athletics,Morocco,1,0,0,1
Athletics,Pakistan,1,0,0,1
Athletics,Sweden,1,0,0,1
Athletics,South Africa,0,2,0,2
Athletics,Italy,0,1,2,3
Athletics,Brazil,0,1,1,2
Athletics,France,0,1,0,1
Athletics,Hungary,0,1,0,1
Athletics,India,0,1,0,1
Athletics,Lithuania,0,1,0,1
Athletics,Portugal,0,1,0,1
Athletics,Scotland,0,1,0,1
Athletics,Grenada,0,0,2,2
Athletics,Algeria,0,0,1,1
Athletics,Croatia,0,0,1,1
Athletics,Czech Republic,0,0,1,1
Athletics,Poland,0,0,1,1
Athletics,Puerto Rico,0,0,1,1
Athletics,Qatar,0,0,1,1
Athletics,Zambia,0,0,1,1
