sport,country,gold,silver,bronze,total
Athletics,Australia,10,10,5,25
Athletics,England,8,14,12,34
Athletics,Kenya,6,5,9,20
Athletics,Jamaica,6,5,2,13
Athletics,Nigeria,5,1,3,9
Athletics,Canada,4,1,2,7
Athletics,Uganda,3,0,1,4
Athletics,Scotland,2,2,4,8
Athletics,New Zealand,2,2,2,6
Athletics,Trinidad and Tobago,2,1,0,3
Athletics,Wales,2,0,1,3
Athletics,India,1,4,3,8
Athletics,South Africa,1,2,2,5
Athletics,Barbados,1,1,1,3
Athletics,Bahamas,1,1,0,2
Athletics,Grenada,1,1,0,2
Athletics,British Virgin Islands,1,0,0,1
Athletics,Pakistan,1,0,0,1
Athletics,Zambia,1,0,0,1
Athletics,Northern Ireland,0,2,0,2
Athletics,Sri Lanka,0,1,1,2
Athletics,Botswana,0,1,0,1
Athletics,Cameroon,0,1,0,1
Athletics,Dominica,0,1,0,1
Athletics,Saint Lucia,0,1,0,1
Athletics,Tanzania,0,1,0,1
Athletics,Ghana,0,0,2,2
Athletics,Namibia,0,0,3,3
Athletics,Bermuda,0,0,1,1
Athletics,Fiji,0,0,1,1
Athletics,Guernsey,0,0,1,1
Athletics,Cyprus,0,0,1,1
Swimming,Australia,25,21,19,65
Swimming,England,8,16,8,32
Swimming,Canada,7,7,6,20
Swimming,New Zealand,5,2,2,9
Swimming,South Africa,4,4,3,11
Swimming,Scotland,2,1,9,12
Swimming,Northern Ireland,1,1,1,3
Swimming,Singapore,0,2,0,2
Swimming,Wales,0,0,2,2
3x3 Basketball,Canada,2,1,1,4
3x3 Basketball,Australia,1,2,1,4
3x3 Basketball,England,1,1,2,4
Artistic Gymnastics,England,10,5,1,16
Artistic Gymnastics,Australia,3,4,2,9
Artistic Gymnastics,Canada,0,3,5,8
Artistic Gymnastics,Cyprus,1,1,4,6
Artistic Gymnastics,Northern Ireland,0,1,0,1
Artistic Gymnastics,Scotland,0,0,1,1
Artistic Gymnastics,South Africa,0,0,1,1
Boxing,Northern Ireland,5,1,1,7
Boxing,India,3,1,3,7
Boxing,Scotland,3,0,2,5
Boxing,England,2,3,3,8
Boxing,Wales,2,1,3,6
Boxing,Canada,1,0,3,4
Boxing,Australia,0,2,3,5
Boxing,Ghana,0,2,1,3
Boxing,Mozambique,0,2,1,3
Boxing,Nigeria,0,1,3,4
Boxing,Zambia,0,1,1,2
Boxing,Mauritius,0,1,0,1
Boxing,Samoa,0,1,0,1
Boxing,South Africa,0,0,2,2
Boxing,Tanzania,0,0,2,2
Boxing,Botswana,0,0,1,1
Boxing,New Zealand,0,0,1,1
Boxing,Niue,0,0,1,1
Boxing,Uganda,0,0,1,1
Judo,England,5,3,5,13
Judo,Canada,4,3,1,8
Judo,Australia,2,0,8,10
Judo,Scotland,1,1,2,4
Judo,South Africa,1,0,1,2
Judo,Cyprus,1,0,0,1
Judo,India,0,2,1,3
Judo,Mauritius,0,1,2,3
Judo,New Zealand,0,1,2,3
Judo,Wales,0,1,1,2
Judo,Jamaica,0,1,0,1
Judo,The Gambia,0,1,0,1
Judo,Northern Ireland,0,0,2,2
Judo,Malaysia,0,0,1,1
Judo,Malta,0,0,1,1
Judo,Pakistan,0,0,1,1
Track Cycling,New Zealand,8,4,1,13
Track Cycling,Australia,8,2,3,13
Track Cycling,Scotland,1,5,3,9
Track Cycling,England,1,4,4,9
Track Cycling,Wales,1,1,4,6
Track Cycling,Canada,0,3,2,5
Track Cycling,Trinidad and Tobago,1,1,1,3
Track Cycling,Malaysia,0,0,1,1
Netball,Australia,1,0,0,1
Netball,Jamaica,0,1,0,1
Netball,New Zealand,0,0,1,1
Weightlifting,India,3,3,4,10
Weightlifting,England,3,1,1,5
Weightlifting,Canada,2,2,4,8
Weightlifting,Nigeria,2,1,3,6
Weightlifting,Malaysia,2,1,0,3
Weightlifting,Samoa,1,3,0,4
Weightlifting,Australia,1,2,1,4
Weightlifting,Cameroon,1,0,0,1
Weightlifting,Pakistan,1,0,0,1
Weightlifting,Mauritius,0,1,0,1
Weightlifting,New Zealand,0,1,0,1
Weightlifting,Papua New Guinea,0,1,0,1
Weightlifting,Sri Lanka,0,0,1,1
Weightlifting,Fiji,0,0,1,1
Weightlifting,Nauru,0,0,1,1
Bowls,Australia,3,3,0,6
Bowls,Scotland,3,0,2,5
Bowls,England,2,2,3,7
Bowls,Wales,1,1,1,3
Bowls,India,1,1,0,2
Bowls,Northern Ireland,1,1,0,2
Bowls,Malaysia,0,1,1,2
Bowls,South Africa,0,1,1,2
Bowls,Guernsey,0,1,0,1
Bowls,New Zealand,0,0,3,3
